ariregistri_kood,nimi,ettevotja_oiguslik_vorm,ettevotja_oigusliku_vormi_alaliik,kmkr_nr,ettevotja_staatus,ettevotja_staatus_tekstina,ettevotja_esmakande_kpv,ettevotja_aadress,asukoht_ettevotja_aadressis,asukoha_ehak_kood,asukoha_ehak_tekstina,indeks_ettevotja_aadressis,ads_adr_id,ads_ads_oid,ads_normaliseeritud_taisaadress,teabesysteemi_link
14396332,Õiemesi OÜ,Osaühing,,,R,Registrisse kantud,2017-12-27,,Vase,2000,"Ignase küla, Kastre vald, Tartu maakond",62021,3165759,,"Tartu maakond, Kastre vald, Ignase küla, Vase",https://ariregister.rik.ee/est/company/14396332
14762630,Õie Valgus OÜ,Osaühing,,,R,Registrisse kantud,2019-07-16,,Suure-Leesiko,6071,"Pedaste küla, Elva vald, Tartu maakond",67214,2974950,,"Tartu maakond, Elva vald, Pedaste küla, Suure-Leesiko",https://ariregister.rik.ee/est/company/14762630
12517978,Õiguse Talu OÜ,Osaühing,,,R,Registrisse kantud,2013-08-09,,Õiguse,4557,"Luke küla, Nõo vald, Tartu maakond",61614,3308915,,"Tartu maakond, Nõo vald, Luke küla, Õiguse",https://ariregister.rik.ee/est/company/12517978
11922949,Õnne Investeering OÜ,Osaühing,,EE101361253,R,Registrisse kantud,2010-04-09,,Õnne tn 15-5,8151,"Tartu linn, Tartu linn, Tartu maakond",50114,3124187,,"Tartu maakond, Tartu linn, Tartu linn, Õnne tn 15-5",https://ariregister.rik.ee/est/company/11922949
11703207,Õnneküpsis OÜ,Osaühing,,EE101396901,R,Registrisse kantud,2009-08-18,,Kivi tn 42-9,8151,"Tartu linn, Tartu linn, Tartu maakond",51009,3123058,,"Tartu maakond, Tartu linn, Tartu linn, Kivi tn 42-9",https://ariregister.rik.ee/est/company/11703207
14314015,Õnnela OÜ,Osaühing,,,R,Registrisse kantud,2017-08-17,,Õnne/2,1176,"Alasoo küla, Peipsiääre vald, Tartu maakond",60202,3444680,,"Tartu maakond, Peipsiääre vald, Alasoo küla, Õnne/2",https://ariregister.rik.ee/est/company/14314015
16067302,Õpiring OÜ,Osaühing,,,R,Registrisse kantud,2020-10-02,,Pärna tn 4,8151,"Tartu linn, Tartu linn, Tartu maakond",50603,3047919,,"Tartu maakond, Tartu linn, Tartu linn, Pärna tn 4",https://ariregister.rik.ee/est/company/16067302
14641292,Õpiõu OÜ,Osaühing,,,R,Registrisse kantud,2019-01-14,,Unipiha tee 42,4648,"Läti küla, Kambja vald, Tartu maakond",61706,2861758,,"Tartu maakond, Kambja vald, Läti küla, Unipiha tee 42",https://ariregister.rik.ee/est/company/14641292
16092406,Õppimise Võlu OÜ,Osaühing,,,R,Registrisse kantud,2020-11-06,,Savi tn 8-12,8151,"Tartu linn, Tartu linn, Tartu maakond",50405,3078715,,"Tartu maakond, Tartu linn, Tartu linn, Savi tn 8-12",https://ariregister.rik.ee/est/company/16092406
10769523,ÄDIN INVEST OÜ,Osaühing,,EE100706152,R,Registrisse kantud,2001-07-31,,Leevikese tn 1c,8151,"Tartu linn, Tartu linn, Tartu maakond",50413,3070246,,"Tartu maakond, Tartu linn, Tartu linn, Leevikese tn 1c",https://ariregister.rik.ee/est/company/10769523
80109705,Äksi Motoklubi,Mittetulundusühing,tavaline mittetulundusühing,,R,Registrisse kantud,1999-09-21,,Äksi tee 38,9747,"Äksi alevik, Tartu vald, Tartu maakond",60543,3643418,,"Tartu maakond, Tartu vald, Äksi alevik, Äksi tee 38",https://ariregister.rik.ee/est/company/80109705
14735840,Ökoloogilised Uuringud OÜ,Osaühing,,,R,Registrisse kantud,2019-06-03,,Riia tn 17-63,8151,"Tartu linn, Tartu linn, Tartu maakond",51010,3082554,,"Tartu maakond, Tartu linn, Tartu linn, Riia tn 17-63",https://ariregister.rik.ee/est/company/14735840
80384546,Ööbiku tee MTÜ,Mittetulundusühing,tavaline mittetulundusühing,,R,Registrisse kantud,2015-04-24,,Ööbiku tee 6,9483,"Vorbuse küla, Tartu linn, Tartu maakond",61412,3036225,,"Tartu maakond, Tartu linn, Vorbuse küla, Ööbiku tee 6",https://ariregister.rik.ee/est/company/80384546
16601150,Öökukkur OÜ,Osaühing,,,R,Registrisse kantud,2022-10-26,,Mõisavahe tn 46-113,8151,"Tartu linn, Tartu linn, Tartu maakond",50708,3128690,,"Tartu maakond, Tartu linn, Tartu linn, Mõisavahe tn 46-113",https://ariregister.rik.ee/est/company/16601150
17374182,Ühel Lainel OÜ,Osaühing,,,R,Registrisse kantud,2025-11-17,,Veeriku tn 16-2,8151,"Tartu linn, Tartu linn, Tartu maakond",50407,3110978,,"Tartu maakond, Tartu linn, Tartu linn, Veeriku tn 16-2",https://ariregister.rik.ee/est/company/17374182
16425776,Ühikud OÜ,Osaühing,,EE102460496,R,Registrisse kantud,2022-01-19,,Kure tee 4,6724,"Rahinge küla, Tartu linn, Tartu maakond",61408,3024089,,"Tartu maakond, Tartu linn, Rahinge küla, Kure tee 4",https://ariregister.rik.ee/est/company/16425776
14757824,ÜJ Finants OÜ,Osaühing,,EE102792504,R,Registrisse kantud,2019-07-08,,Ranna tee 1e-12,8151,"Tartu linn, Tartu linn, Tartu maakond",51008,3057915,,"Tartu maakond, Tartu linn, Tartu linn, Ranna tee 1e-12",https://ariregister.rik.ee/est/company/14757824
11653876,ÜK Transport OÜ,Osaühing,,EE101301158,R,Registrisse kantud,2009-05-26,,Andrese,5447,"Noorma küla, Elva vald, Tartu maakond",61110,2975561,,"Tartu maakond, Elva vald, Noorma küla, Andrese",https://ariregister.rik.ee/est/company/11653876
80186450,Ülenurme Lions Klubi,Mittetulundusühing,tavaline mittetulundusühing,,R,Registrisse kantud,2003-04-09,,Pargi tn 2,9835,"Ülenurme alevik, Kambja vald, Tartu maakond",61714,2884764,,"Tartu maakond, Kambja vald, Ülenurme alevik, Pargi tn 2",https://ariregister.rik.ee/est/company/80186450
17009867,Ülenurme Ärimaja OÜ,Osaühing,,,R,Registrisse kantud,2024-06-17,,Peetri tee 2,9835,"Ülenurme alevik, Kambja vald, Tartu maakond",61714,2841402,,"Tartu maakond, Kambja vald, Ülenurme alevik, Peetri tee 2",https://ariregister.rik.ee/est/company/17009867
